window_start,window_minutes,bot,side,opened_at,hold_seconds,exit,won,outcome,would_have_won
2026-08-29T06:45:00+00:00,15,R3,DOWN,2026-08-29T06:50:47.151720+00:00,34,stop,0,UP,0
2026-08-29T06:50:00+00:00,5,R3,DOWN,2026-08-29T06:50:53.968735+00:00,48,stop,0,DOWN,1
2026-08-29T06:50:00+00:00,5,R3,UP,2026-08-29T06:52:49.964948+00:00,7,target,1,DOWN,0
2026-08-29T06:55:00+00:00,5,R1,UP,2026-08-29T06:55:47.735583+00:00,14,target,1,UP,1
2026-08-29T07:00:00+00:00,5,R1,DOWN,2026-08-29T07:00:34.626137+00:00,7,target,1,UP,0
2026-08-29T07:00:00+00:00,15,R1,DOWN,2026-08-29T07:01:36.183525+00:00,34,stop,0,DOWN,1
2026-08-29T07:00:00+00:00,15,R3,DOWN,2026-08-29T07:05:01.784159+00:00,62,stop,0,DOWN,1
2026-08-29T07:05:00+00:00,5,R1,DOWN,2026-08-29T07:05:36.017599+00:00,14,target,1,DOWN,1
2026-08-29T07:10:00+00:00,5,R1,UP,2026-08-29T07:10:57.781014+00:00,20,target,1,UP,1
2026-08-29T07:10:00+00:00,5,R3,DOWN,2026-08-29T07:11:18.266920+00:00,7,stop,0,UP,0
2026-08-29T07:15:00+00:00,5,R1,UP,2026-08-29T07:15:31.722644+00:00,41,target,1,UP,1
2026-08-29T07:15:00+00:00,15,R1,DOWN,2026-08-29T07:17:00.543946+00:00,14,stop,0,UP,0
2026-08-29T07:15:00+00:00,15,R3,DOWN,2026-08-29T07:18:09.047445+00:00,7,stop,0,UP,0
2026-08-29T07:20:00+00:00,5,R1,UP,2026-08-29T07:21:20.512828+00:00,55,target,1,DOWN,0
2026-08-29T07:20:00+00:00,5,R3,UP,2026-08-29T07:21:27.318567+00:00,48,target,1,DOWN,0
2026-08-29T07:20:00+00:00,5,R3,UP,2026-08-29T07:23:30.146477+00:00,14,stop,0,DOWN,0
2026-08-29T07:25:00+00:00,5,R1,DOWN,2026-08-29T07:25:39.841727+00:00,7,stop,0,UP,0
2026-08-29T07:30:00+00:00,5,R1,DOWN,2026-08-29T07:30:33.468697+00:00,76,stop,0,UP,0
2026-08-29T07:30:00+00:00,15,R1,DOWN,2026-08-29T07:31:48.989674+00:00,7,stop,0,UP,0
2026-08-29T07:35:00+00:00,5,R1,UP,2026-08-29T07:35:36.737742+00:00,21,target,1,UP,1
2026-08-29T07:30:00+00:00,15,R3,DOWN,2026-08-29T07:35:50.429701+00:00,7,stop,0,UP,0
2026-08-29T07:30:00+00:00,15,R3,DOWN,2026-08-29T07:36:17.919922+00:00,7,stop,0,UP,0
2026-08-29T07:40:00+00:00,5,R1,DOWN,2026-08-29T07:40:32.443468+00:00,7,stop,0,UP,0
2026-08-29T07:45:00+00:00,5,R1,DOWN,2026-08-29T07:45:42.390288+00:00,76,stop,0,DOWN,1
2026-08-29T07:45:00+00:00,5,R3,DOWN,2026-08-29T07:46:23.679558+00:00,28,stop,0,DOWN,1
2026-08-29T07:45:00+00:00,15,R1,DOWN,2026-08-29T07:46:30.563008+00:00,35,stop,0,DOWN,1
2026-08-29T07:45:00+00:00,15,R3,DOWN,2026-08-29T07:46:51.482155+00:00,14,stop,0,DOWN,1
2026-08-29T07:45:00+00:00,5,R3,DOWN,2026-08-29T07:46:58.329170+00:00,7,stop,0,DOWN,1
2026-08-29T07:50:00+00:00,5,R1,UP,2026-08-29T07:52:27.852685+00:00,14,stop,0,UP,1
2026-08-29T07:50:00+00:00,5,R3,UP,2026-08-29T07:52:27.852685+00:00,14,stop,0,UP,1
2026-08-29T07:50:00+00:00,5,R3,UP,2026-08-29T07:52:48.391101+00:00,27,target,1,UP,1
2026-08-29T07:55:00+00:00,5,R1,DOWN,2026-08-29T07:55:33.153787+00:00,34,stop,0,DOWN,1
2026-08-29T07:45:00+00:00,15,R3,DOWN,2026-08-29T07:56:48.512733+00:00,75,stop,0,DOWN,1
2026-08-29T08:00:00+00:00,5,R1,UP,2026-08-29T08:00:35.039687+00:00,7,stop,0,DOWN,0
2026-08-29T08:00:00+00:00,15,R1,UP,2026-08-29T08:01:30.233056+00:00,34,stop,0,DOWN,0
2026-08-29T08:00:00+00:00,15,R3,UP,2026-08-29T08:02:04.349213+00:00,7,stop,0,DOWN,0
2026-08-29T08:05:00+00:00,5,R1,UP,2026-08-29T08:05:36.441419+00:00,7,target,1,UP,1
2026-08-29T08:10:00+00:00,5,R1,DOWN,2026-08-29T08:10:30.890862+00:00,48,stop,0,UP,0
2026-08-29T08:15:00+00:00,5,R1,DOWN,2026-08-29T08:15:31.568591+00:00,41,stop,0,,
